ensg.temp	genes.temp
ENSG00000206013.2	IFITM5
ENSG00000185201.12	IFITM2
ENSG00000142089.11	IFITM3
ENSG00000184363.5	PKP3
ENSG00000185187.8	SIGIRR
ENSG00000174915.7	PTDSS2
ENSG00000023191.12	RNH1
ENSG00000174775.12	HRAS
ENSG00000161328.10	LRRC56
ENSG00000070047.7	PHRF1
ENSG00000177042.10	TMEM80
ENSG00000177156.6	TALDO1
ENSG00000177225.12	PDDC1
ENSG00000255284.1	AP006621.5
ENSG00000177595.13	PIDD
ENSG00000177600.4	RPLP2
ENSG00000177697.13	CD151
ENSG00000177700.5	POLR2L
ENSG00000214063.6	TSPAN4
ENSG00000184956.11	MUC6
ENSG00000182208.8	MOB2
ENSG00000205869.2	KRTAP5-1
ENSG00000244242.1	IFITM10
ENSG00000130595.12	TNNT3
ENSG00000110665.7	C11orf21
ENSG00000053918.11	KCNQ1
ENSG00000110628.9	SLC22A18
ENSG00000205531.8	NAP1L4
ENSG00000110619.12	CARS
ENSG00000021762.15	OSBPL5
ENSG00000005801.12	ZNF195
ENSG00000167311.9	ART5
ENSG00000167325.10	RRM1
ENSG00000180785.8	OR51E1
ENSG00000223609.3	HBD
ENSG00000213934.5	HBG1
ENSG00000175520.8	UBQLN3
ENSG00000175518.6	UBQLNL
ENSG00000121236.15	TRIM6
ENSG00000132274.11	TRIM22
ENSG00000181074.3	OR52N4
ENSG00000180988.2	OR52N2
ENSG00000132256.14	TRIM5
ENSG00000051009.6	FAM160A2
ENSG00000132259.8	CNGA4
ENSG00000170955.9	PRKCDBP
ENSG00000166313.14	APBB1
ENSG00000110169.6	HPX
ENSG00000110171.14	TRIM3
ENSG00000132275.6	RRP8
ENSG00000166333.9	ILK
ENSG00000166340.10	TPP1
ENSG00000166341.6	DCHS1
ENSG00000149054.10	ZNF215
ENSG00000149050.5	ZNF214
ENSG00000166387.7	PPFIBP2
ENSG00000166394.10	CYB5R2
ENSG00000175390.8	EIF3F
ENSG00000166402.4	TUB
ENSG00000130413.11	STK33
ENSG00000166436.11	TRIM66
ENSG00000166452.7	AKIP1
ENSG00000175348.6	TMEM9B
ENSG00000175352.6	NRIP3
ENSG00000175356.8	SCUBE2
ENSG00000184014.3	DENND5A
ENSG00000166471.6	TMEM41B
ENSG00000268403.1	AC132192.1
ENSG00000148926.5	ADM
ENSG00000133805.11	AMPD3
ENSG00000236287.3	ZBED5
ENSG00000110328.5	GALNT18
ENSG00000050165.13	DKK3
ENSG00000133818.8	RRAS2
ENSG00000129084.13	PSMA1
ENSG00000152270.4	PDE3B
ENSG00000110693.11	SOX6
ENSG00000110700.2	RPS13
ENSG00000188211.4	NCR3LG1
ENSG00000006071.7	ABCC8
ENSG00000129158.6	SERGEF
ENSG00000166788.5	SAAL1
ENSG00000110768.7	GTF2H1
ENSG00000134333.9	LDHA
ENSG00000166796.7	LDHC
ENSG00000179119.10	SPTY2D1
ENSG00000151117.4	TMEM86A
ENSG00000110786.13	PTPN5
ENSG00000129170.4	CSRP3
ENSG00000109854.9	HTATIP2
ENSG00000171714.10	ANO5
ENSG00000183161.3	FANCF
ENSG00000148935.6	GAS2
ENSG00000198168.4	SVIP
ENSG00000134343.8	ANO3
ENSG00000169550.8	MUC15
ENSG00000148942.10	SLC5A12
ENSG00000109881.12	CCDC34
ENSG00000148943.7	LIN7C
ENSG00000176697.14	BDNF
ENSG00000152219.4	ARL14EP
ENSG00000170946.10	DNAJC24
ENSG00000109911.13	ELP4
ENSG00000049449.4	RCN1
ENSG00000007372.16	PAX6
ENSG00000121690.5	DEPDC7
ENSG00000176148.11	TCP11L1
ENSG00000110427.10	KIAA1549L
ENSG00000085063.10	CD59
ENSG00000166016.4	ABTB2
ENSG00000121691.4	CAT
ENSG00000149089.8	APIP
ENSG00000179431.5	FJX1
ENSG00000110442.7	COMMD9
ENSG00000135362.9	PRR5L
ENSG00000175104.10	TRAF6
ENSG00000149084.7	HSD17B12
ENSG00000166199.8	ALKBH3
ENSG00000110455.9	ACCS
ENSG00000151348.9	EXT2
ENSG00000052850.5	ALX4
ENSG00000019505.3	SYT13
ENSG00000205106.2	CTD-2210P24.4
ENSG00000157613.6	CREB3L1
ENSG00000110492.11	MDK
ENSG00000110497.10	AMBRA1
ENSG00000180423.4	HARBI1
ENSG00000175224.12	ATG13
ENSG00000175220.7	ARHGAP1
ENSG00000175213.2	ZNF408
ENSG00000175216.10	CKAP5
ENSG00000149179.9	C11orf49
ENSG00000165912.11	PACSIN3
ENSG00000134574.7	DDB2
ENSG00000025434.14	NR1H3
ENSG00000134575.5	ACP2
ENSG00000110514.14	MADD
ENSG00000172247.3	C1QTNF4
ENSG00000109919.5	MTCH2
ENSG00000149177.8	PTPRJ
ENSG00000086205.12	FOLH1
ENSG00000186652.5	PRG2
ENSG00000134802.13	SLC43A3
ENSG00000186907.3	RTN4RL2
ENSG00000134809.4	TIMM10
ENSG00000214872.4	SMTNL1
ENSG00000149131.11	SERPING1
ENSG00000166793.6	YPEL4
ENSG00000156603.10	MED19
ENSG00000213593.5	TMX2
ENSG00000242689.1	CNTF
ENSG00000156689.2	GLYATL2
ENSG00000189057.6	FAM111B
ENSG00000166801.11	FAM111A
ENSG00000110042.3	DTX4
ENSG00000197629.5	MPEG1
ENSG00000166900.10	STX3
ENSG00000166902.4	MRPL16
ENSG00000134827.3	TCN1
ENSG00000149534.4	MS4A2
ENSG00000166926.4	MS4A6E
ENSG00000166927.8	MS4A7
ENSG00000166928.6	MS4A14
ENSG00000110104.7	CCDC86
ENSG00000183134.4	PTGDR2
ENSG00000110107.4	PRPF19
ENSG00000013725.10	CD6
ENSG00000110448.6	CD5
ENSG00000167987.6	VPS37C
ENSG00000229859.4	PGA3
ENSG00000167992.8	VWCE
ENSG00000167986.9	DDB1
ENSG00000187049.5	TMEM216
ENSG00000149532.11	CPSF7
ENSG00000134780.5	DAGLA
ENSG00000124920.9	MYRF
ENSG00000134825.9	TMEM258
ENSG00000134824.9	FADS2
ENSG00000221968.4	FADS3
ENSG00000149503.8	INCENP
ENSG00000110484.6	SCGB2A2
ENSG00000254772.5	EEF1G
ENSG00000149489.4	ROM1
ENSG00000149499.7	EML3
ENSG00000149541.5	B3GAT3
ENSG00000089597.12	GANAB
ENSG00000162194.8	C11orf48
ENSG00000168000.10	BSCL2
ENSG00000214753.2	HNRNPUL2
ENSG00000162222.9	TTC9C
ENSG00000168569.7	TMEM223
ENSG00000196600.8	SLC22A25
ENSG00000133321.6	RARRES3
ENSG00000184743.8	ATL3
ENSG00000168005.4	C11orf84
ENSG00000072518.16	MARK2
ENSG00000176340.3	COX8A
ENSG00000167770.7	OTUB1
ENSG00000126500.3	FLRT1
ENSG00000149743.9	TRPT1
ENSG00000173511.5	VEGFB
ENSG00000173457.6	PPP1R14B
ENSG00000173113.2	TRMT112
ENSG00000126432.9	PRDX5
ENSG00000197891.7	SLC22A12
ENSG00000110076.14	NRXN2
ENSG00000168067.7	MAP4K2
ENSG00000149735.2	GPHA2
ENSG00000110025.8	SNX15
ENSG00000168060.10	NAALADL1
ENSG00000149792.4	MRPL49
ENSG00000162298.12	SYVN1
ENSG00000014216.11	CAPN1
ENSG00000254614.1	AP003068.23
ENSG00000173727.7	AP000769.1
ENSG00000168056.10	LTBP3
ENSG00000173442.7	EHBP1L1
ENSG00000173327.3	MAP3K11
ENSG00000213445.4	SIPA1
ENSG00000172922.4	RNASEH2C
ENSG00000172803.13	SNX32
ENSG00000172543.3	CTSW
ENSG00000172500.8	FIBP
ENSG00000175334.3	BANF1
ENSG00000175294.5	CATSPER1
ENSG00000175115.7	PACS1
ENSG00000174903.10	RAB1B
ENSG00000174851.10	YIF1A
ENSG00000174684.6	B3GNT1
ENSG00000255468.2	RP11-867G23.8
ENSG00000254986.3	DPP3
ENSG00000174483.15	BBS1
ENSG00000174080.6	CTSF
ENSG00000173715.11	C11orf80
ENSG00000173156.2	RHOD
ENSG00000172932.10	ANKRD13D
ENSG00000172613.3	RAD9A
ENSG00000175463.7	TBC1D10C
ENSG00000175634.10	RPS6KB2
ENSG00000213402.2	PTPRCAP
ENSG00000110711.5	AIP
ENSG00000110697.8	PITPNM1
ENSG00000084207.11	GSTP1
ENSG00000167792.7	NDUFV1
ENSG00000167799.5	NUDT8
ENSG00000110057.3	UNC93B1
ENSG00000110717.6	NDUFS8
ENSG00000110075.10	PPP6R3
ENSG00000069482.6	GAL
ENSG00000132749.6	MTL5
ENSG00000197345.8	MRPL21
ENSG00000132740.4	IGHMBP2
ENSG00000172938.3	MRGPRD
ENSG00000172935.8	MRGPRF
ENSG00000162341.11	TPCN2
ENSG00000172927.3	MYEOV
ENSG00000110092.3	CCND1
ENSG00000149716.8	ORAOV1
ENSG00000131620.13	ANO1
ENSG00000131626.11	PPFIA1
ENSG00000085733.11	CTTN
ENSG00000172890.7	NADSYN1
ENSG00000254997.2	KRTAP5-9
ENSG00000204572.5	KRTAP5-10
ENSG00000158483.11	FAM86C1
ENSG00000254469.3	RP11-849H4.2
ENSG00000110203.4	FOLR3
ENSG00000214530.3	STARD10
ENSG00000171631.10	P2RY6
ENSG00000175582.15	RAB6A
ENSG00000175581.9	MRPL48
ENSG00000175575.8	PAAF1
ENSG00000168014.12	C2CD3
ENSG00000214517.4	PPME1
ENSG00000149380.7	P4HA3
ENSG00000165434.6	PGM2L1
ENSG00000175538.6	KCNE3
ENSG00000175536.6	LIPT2
ENSG00000054938.11	CHRDL2
ENSG00000166435.11	XRRA1
ENSG00000137486.12	ARRB1
ENSG00000149273.10	RPS3
ENSG00000149257.9	SERPINH1
ENSG00000171533.7	MAP6
ENSG00000182704.6	TSKU
ENSG00000078124.7	ACER3
ENSG00000149260.10	CAPN5
ENSG00000137474.15	MYO7A
ENSG00000178795.5	GDPD4
ENSG00000178301.3	AQP11
ENSG00000074201.4	CLNS1A
ENSG00000087884.10	AAMDC
ENSG00000149262.12	INTS4
ENSG00000151364.11	KCTD14
ENSG00000151366.8	NDUFC2
ENSG00000137513.5	NARS2
ENSG00000165490.8	C11orf82
ENSG00000137509.6	PRCP
ENSG00000137502.5	RAB30
ENSG00000165494.6	PCF11
ENSG00000137500.5	CCDC90B
ENSG00000171202.2	TMEM126A
ENSG00000137504.9	CREBZF
ENSG00000073921.13	PICALM
ENSG00000149196.11	C11orf73
ENSG00000150687.7	PRSS23
ENSG00000123892.7	RAB38
ENSG00000077616.6	NAALAD2
ENSG00000110172.7	CHORDC1
ENSG00000180773.10	SLC36A4
ENSG00000166004.10	KIAA1731
ENSG00000182919.10	C11orf54
ENSG00000166012.10	TAF1D
ENSG00000042429.6	MED17
ENSG00000214376.5	VSTM5
ENSG00000110218.4	PANX1
ENSG00000020922.8	MRE11A
ENSG00000134627.7	PIWIL4
ENSG00000150316.7	CWC15
ENSG00000149218.4	ENDOD1
ENSG00000166037.6	CEP57
ENSG00000149231.7	CCDC82
ENSG00000165895.13	ARHGAP42
ENSG00000170647.2	TMEM133
ENSG00000082175.10	PGR
ENSG00000187151.3	ANGPTL5
ENSG00000137693.9	YAP1
ENSG00000023445.9	BIRC3
ENSG00000152558.10	TMEM123
ENSG00000137675.4	MMP27
ENSG00000204403.5	CASP12
ENSG00000137757.6	CASP5
ENSG00000137752.18	CASP1
ENSG00000149313.6	AASDHPPT
ENSG00000182359.10	KBTBD3
ENSG00000152404.11	CWF19L2
ENSG00000110660.10	SLC35F2
ENSG00000178202.8	KDELC2
ENSG00000149289.6	ZC3H12C
ENSG00000137710.10	RDX
ENSG00000137714.2	FDX1
ENSG00000150750.6	C11orf53
ENSG00000214290.3	COLCA2
ENSG00000196167.5	COLCA1
ENSG00000137713.11	PPP2R1B
ENSG00000149300.5	C11orf52
ENSG00000197580.7	BCO2
ENSG00000149292.12	TTC12
ENSG00000170209.4	ANKK1
ENSG00000149295.9	DRD2
ENSG00000048028.7	USP28
ENSG00000076043.5	REXO2
ENSG00000182985.12	CADM1
ENSG00000109917.6	ZNF259
ENSG00000168092.9	PAFAH1B2
ENSG00000167257.6	RNF214
ENSG00000110274.10	CEP164
ENSG00000177103.9	DSCAML1
ENSG00000137731.9	FXYD2
ENSG00000137726.11	FXYD6
ENSG00000160593.13	AMICA1
ENSG00000160588.5	MPZL3
ENSG00000198851.5	CD3E
ENSG00000167286.5	CD3D
ENSG00000167283.3	ATP5L
ENSG00000172425.6	TTC36
ENSG00000095139.9	ARCN1
ENSG00000118096.3	IFT46
ENSG00000019144.12	PHLDB1
ENSG00000110367.7	DDX6
ENSG00000118181.6	RPS25
ENSG00000196655.5	TRAPPC4
ENSG00000137700.12	SLC37A4
ENSG00000160695.10	VPS11
ENSG00000256269.2	HMBS
ENSG00000172273.8	HINFP
ENSG00000248712.3	CCDC153
ENSG00000110395.4	CBL
ENSG00000036672.11	USP2
ENSG00000137699.12	TRIM29
ENSG00000184232.4	OAF
ENSG00000137709.5	POU2F3
ENSG00000181264.4	TMEM136
ENSG00000196914.4	ARHGEF12
ENSG00000149403.7	GRIK4
ENSG00000154114.8	TBCEL
ENSG00000109929.5	SC5D
ENSG00000154127.5	UBASH3B
ENSG00000109944.6	C11orf63
ENSG00000254667.1	AP000783.1
ENSG00000023171.10	GRAMD1B
ENSG00000064199.2	SPA17
ENSG00000019102.7	VSIG2
ENSG00000154134.10	ROBO3
ENSG00000154133.10	ROBO4
ENSG00000165478.6	HEPACAM
ENSG00000149548.10	CCDC15
ENSG00000150433.5	TMEM218
ENSG00000149547.10	EI24
ENSG00000134910.8	STT3A
ENSG00000149554.8	CHEK1
ENSG00000110060.4	PUS3
ENSG00000109832.8	DDX25
ENSG00000064309.10	CDON
ENSG00000110074.6	FOXRED1
ENSG00000150455.9	TIRAP
ENSG00000110063.4	DCPS
ENSG00000151702.12	FLI1
ENSG00000134909.14	ARHGAP32
ENSG00000043039.5	BARX2
ENSG00000170322.10	NFRKB
ENSG00000134917.9	ADAMTS8
ENSG00000120451.6	SNX19
ENSG00000166086.8	JAM3
ENSG00000151503.8	NCAPD3
ENSG00000151500.10	THYN1
ENSG00000149328.10	GLB1L2
ENSG00000120645.7	IQSEC3
ENSG00000120647.5	CCDC77
ENSG00000139044.6	B4GALNT3
ENSG00000002016.12	RAD52
ENSG00000111186.8	WNT5B
ENSG00000151062.10	CACNA2D4
ENSG00000151065.9	DCP1B
ENSG00000053702.10	NRIP2
ENSG00000171792.6	RHNO1
ENSG00000011105.7	TSPAN9
ENSG00000130038.5	EFCAB4B
ENSG00000111224.9	PARP11
ENSG00000078237.4	C12orf5
ENSG00000047621.7	C12orf4
ENSG00000111247.10	RAD51AP1
ENSG00000010219.9	DYRK4
ENSG00000111254.3	AKAP3
ENSG00000130035.2	GALNT8
ENSG00000130037.3	KCNA5
ENSG00000047617.10	ANO2
ENSG00000008323.11	PLEKHG6
ENSG00000111321.6	LTBR
ENSG00000111319.8	SCNN1A
ENSG00000139193.3	CD27
ENSG00000139192.7	TAPBPL
ENSG00000139190.12	VAMP1
ENSG00000111639.3	MRPL51
ENSG00000010292.8	NCAPD2
ENSG00000010295.15	IFFO1
ENSG00000126746.13	ZNF384
ENSG00000089693.6	MLF2
ENSG00000010610.5	CD4
ENSG00000111664.6	GNB3
ENSG00000111665.7	CDCA3
ENSG00000111671.5	SPSB2
ENSG00000010626.10	LRRC23
ENSG00000111676.10	ATN1
ENSG00000111678.6	C12orf57
ENSG00000126749.10	EMG1
ENSG00000215021.4	PHB2
ENSG00000139178.6	C1RL
ENSG00000139194.3	RBP5
ENSG00000139182.9	CLSTN3
ENSG00000139197.6	PEX5
ENSG00000215009.5	ACSM4
ENSG00000173262.7	SLC2A14
ENSG00000171860.4	C3AR1
ENSG00000171847.6	FAM90A1
ENSG00000166527.3	CLEC4D
ENSG00000166523.3	CLEC4E
ENSG00000166532.11	RIMKLB
ENSG00000111752.6	PHC1
ENSG00000003056.3	M6PR
ENSG00000139187.5	KLRG1
ENSG00000175899.10	A2M
ENSG00000069493.10	CLEC2D
ENSG00000184293.3	CLECL1
ENSG00000172322.9	CLEC12A
ENSG00000256660.1	CLEC12B
ENSG00000165682.10	CLEC1B
ENSG00000173391.4	OLR1
ENSG00000134539.12	KLRD1
ENSG00000213809.4	KLRK1
ENSG00000183542.4	KLRC4
ENSG00000205810.4	KLRC3
ENSG00000111196.5	MAGOHB
ENSG00000060138.8	YBX3
ENSG00000212127.5	TAS2R14
ENSG00000212126.3	TAS2R50
ENSG00000255837.1	TAS2R20
ENSG00000212124.2	TAS2R19
ENSG00000256436.1	TAS2R31
ENSG00000255374.1	TAS2R43
ENSG00000111215.7	PRR4
ENSG00000121335.10	PRB2
ENSG00000139083.6	ETV6
ENSG00000111261.9	MANSC1
ENSG00000165714.6	LOH12CR1
ENSG00000084444.9	KIAA1467
ENSG00000134531.5	EMP1
ENSG00000182993.3	C12orf60
ENSG00000139055.2	ERP27
ENSG00000111348.4	ARHGDIB
ENSG00000139053.2	PDE6H
ENSG00000151490.9	PTPRO
ENSG00000134533.2	RERG
ENSG00000188991.3	SLC15A5
ENSG00000008394.8	MGST1
ENSG00000048540.10	LMO3
ENSG00000172572.6	PDE3A
ENSG00000121350.11	PYROXD1
ENSG00000004700.11	RECQL
ENSG00000134548.5	C12orf39
ENSG00000111728.6	ST8SIA1
ENSG00000111731.8	C2CD5
ENSG00000139163.11	ETNK1
ENSG00000060982.10	BCAT1
ENSG00000118308.10	LRMP
ENSG00000118307.14	CASC1
ENSG00000205707.6	LYRM5
ENSG00000133703.7	KRAS
ENSG00000123096.7	SSPN
